This file contains the values from configuration/version of the experiment in an excel file under columns "Modality 2.1.2 (Descar.)" which has tail limit 0.1-0.9. The excel file is "preprocessed files/OCEAN-Big-2.xlsx"
88016028	1
94408650	5
124254344	6
138381730	6
894808387	2
1574409936	7
1065776492	1
1588162976	6
1597898852	6
28086388	1
92256083	1
154030847	6
185097402	6
296319472	1
54673679	2
63080343	2
153168051	1
198253415	1
344000453	5
636675547	6
1619153983	1
43180458	2
137783313	6
360793798	6
548766597	5
1341425636	6
1704664106	1
1929809022	5
17806480	6
72771671	1
74776290	1
94069568	6
376879820	5
399972090	2
604430370	6
773726504	7
1174869060	6
95534983	2
111207064	1
133564039	6
269672755	1
1503230466	6
1662604596	1
43124735	1
563896772	2
1021825579	2
1705069327	6
1711830224	11
86561338	1
106979496	6
121158213	6
123530812	2
286549547	1
75746259	6
102717436	6
277245931	6
502786642	1
1513445378	6
1597816304	6
1629673561	2
1705075597	6
1969317824	6
69523626	6
395406805	6
704824094	6
1715603816	6
241101712	6
822909908	6
1610783240	6
79989142	1
88595898	1
89492277	2
97003228	6
1082215110	1
1109692266	2
1113049489	6
1162729628	7
115592426	6
118618498	1
132547999	1
146847270	6
238065021	6
258032705	1
317067899	1
357100696	6
519623407	6
1115772350	6
1280945942	6
1879824925	6
14128489	6
17453539	6
96797152	2
832909142	6
1293856740	1
1399037016	1
1456100773	6
1549000093	6
1579470715	6
1602863232	5
74984870	5
86331810	5
123491530	1
337065278	6
1175172799	6
1413038280	6
70113736	6
1559734404	6
1597795844	6
1841481014	6
81805884	2
144150511	1
162329057	6
320201775	7
961054086	6
1159230427	11
41157733	2
77913591	1
132576117	5
261216913	6
1171262540	6
30174676	1
50708133	1
80378256	6
107985062	2
120373248	2
123903674	1
131251989	6
301032173	1
465163515	7
1592132784	6
1620882618	6
1670289014	2
149023304	1
298938630	6
419433537	5
622062599	2
943068600	1
1496392568	7
1527751369	2
1704816942	7
71318122	2
76674373	2
115283358	1
193171372	6
1052284369	5
1404633632	6
1563553934	1
1592142024	6
19760270	6
29190592	6
75983757	6
78841239	2
116150073	6
1588157882	6
543207920	5
1231484029	6
1322911999	6
1871304199	1
61673391	6
197369098	6
607935619	6
710515212	2
1026130310	6
37928303	6
94343337	1
95655914	6
101701599	1
108330046	6
140822402	1
210500967	2
316546858	6
83874206	1
90817644	6
125878286	1
134141933	6
283516719	6
376075938	1
1200761106	6
1322771024	5
44565895	1
124204931	1
1563896917	5
73133761	2
88134490	6
94801966	6
138057436	6
150388277	6
161740619	6
445625990	6
1177894657	6
1592219599	7
1705072807	11
100392687	1
313783592	5
1704887563	6
1868708995	5
51657858	5
147696538	6
173064517	6
237403907	6
320149531	6
1478186630	6
1485825918	6
1493858515	6
1705100804	6
159402539	1
309543030	6
367766733	6
472979726	2
1342399172	6
1610799324	6
83763291	6
122105884	1
361913249	2
416638715	2
556238124	6
9909452	7
44148509	6
75203957	6
89142444	6
254405503	1
1401650874	6
1539236653	2
121068574	2
140308818	6
153383005	2
159389237	6
164970757	6
185232418	16
1329783578	2
40671414	1
41567638	6
137606960	1
239269162	5
324991510	2
366247774	1
619588289	6
906176959	6
1228758266	6
1352734856	6
1368782430	6
1718010674	6
14905139	2
45261768	1
56096879	10
103796498	2
171355483	6
1033997960	1
1413087770	6
1534328886	6
1899321416	2
46178290	6
104457825	6
138602218	2
212498477	2
214020805	6
411682714	6
773332458	1
1522932060	6
70183588	6
77221011	5
117466356	1
121224743	1
135092917	1
357234722	6
1175183929	6
1435942711	6
1895399130	6
1978602440	6
28857564	1
129747368	2
313479710	6
327191499	6
355954520	6
355989081	6
484955678	6
605640136	2
813355915	1
1198632541	1
119363955	2
162068419	6
170215458	6
170670625	6
258385252	6
282000483	2
328970145	6
796286414	6
1705077800	6
1715593603	7
48047398	2
63645078	6
98816334	2
142197895	6
142624406	1
161649479	6
605543984	6
1175322180	6
1704830576	11
1896960258	6
50338130	1
72003363	1
101194270	6
142547063	6
256556336	6
348674113	1
480506002	5
1174666722	6
1711850071	11
4001151	1
24063332	5
116152001	2
129717292	1
221714654	5
221720571	6
310997584	6
313258508	6
1350095394	6
61138471	6
75719681	6
182078486	6
229819195	5
232510202	6
243549932	6
535217383	2
551298827	1
1124064192	6
1634234689	6
1672309262	6
1875316848	6
55187263	5
66946322	6
82310025	2
161634802	6
1070254730	6
1454387251	6
1564723952	2
1610866591	6
20963854	1
32899719	2
550095069	6
708461150	6
1715601637	7
33217158	1
36648285	1
339828563	6
581527148	6
730974469	1
1177819218	6
1181114252	6
1407586560	1
1706219190	2
1910530320	10
101062976	1
162967620	5
491084867	2
721564232	7
1953728839	5
453947486	7
922608115	6
1175162167	6
1290481664	6
1352568404	6
85530493	2
143381497	6
238064084	7
334288533	7
1184854238	6
1434813344	2
1462382360	6
1511157306	6
19791947	6
86604098	1
242228168	5
294696127	2
454117948	6
79777165	6
151367227	6
169840361	2
474948000	6
1175355943	6
1510191283	6
1605744104	6
1610855066	7
1678385599	2
1705097533	6
102742862	6
105400602	1
372846276	6
410718535	6
564233713	1
602767623	2
1304669395	6
1951999609	1
20906660	1
139018536	1
238035101	6
327434221	6
1103117258	1
1174797804	6
1319646870	6
1552480740	6
1588147058	6
1704882343	6
1713482100	2
18237781	5
22185587	1
33329399	1
61825515	2
129597537	6
268435590	5
334611796	6
398656009	6
780109560	6
1053051764	7
22765045	6
39118710	2
52056905	2
113877213	6
397171658	2
1150779590	2
1322360276	2
1715564378	6
95938692	6
278991291	1
327891439	5
1612330430	6
1882969218	5
42394827	6
71486102	6
152183846	6
253176935	6
446960747	1
599424199	1
1036696782	6
1487366112	7
65616028	2
73714634	6
77763857	1
102726161	6
108597375	6
220879885	1
283003937	6
324231085	2
862830115	7
1159819500	7
1253786539	11
1562638448	6
103047934	2
119304556	5
120385144	6
170013467	6
206007377	1
1937911434	6
39194086	1
49277064	7
113661255	6
1157734477	6
1354921651	6
1504791230	6
16293020	6
17157250	1
74810575	5
114203276	1
118361391	6
385778716	6
477563987	6
732436999	1
748889688	6
1020234090	2
1143226892	1
31697820	7
164169702	6
165754769	2
173764454	5
248210363	2
345843559	6
435406096	1
573508870	6
1691249738	6
43596900	5
71996523	1
135096165	10
215552663	6
217514102	1
280954186	6
286672011	6
470043627	1
761004014	6
1253795954	11
1258809511	11
1960493910	6
31033962	1
32306197	6
64132672	1
81545396	6
93423781	1
135826977	2
140650449	6
1487380375	6
1610787385	10
24641832	1
82829628	1
113687237	1
611875158	6
614784058	6
907825945	2
1704863083	6
30985422	1
84659102	5
209819587	6
370702916	6
1223075155	6
86021773	1
90125010	6
100256360	2
130588860	6
338247960	6
567429337	6
744141234	6
1417569128	6
34575249	2
161690954	1
260209882	6
344136693	6
363087172	6
568781834	6
886438854	6
933250896	2
42406642	5
78275234	2
148713492	6
356104964	5
1705042412	6
32974000	6
50260259	6
63331722	6
115859604	6
119862993	2
743705677	2
873441895	1
1159031881	6
1718364512	5
74079788	6
121127805	6
142257829	6
340119456	1
785980106	2
937094305	1
1541754254	6
78280347	6
106876700	1
218401633	2
358261730	2
366687234	6
587118431	6
1055564773	2
1217669886	6
1563522768	1
1705021046	7
1715940871	6
10331222	2
78848890	6
83145098	6
95468039	2
137940314	6
351724257	6
457413754	2
488294701	6
546550645	2
1165496078	1
1251229243	5
1407380972	6
1688244056	5
57286388	6
